tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
2,0.1,14,500,100,1,0.1,0.000874781608581543,214.61468076705933,5.8694943530518024,10.183835148640034,7851860
6,0.01,8,250,20,40,0.1,0.0010835647583007813,2167.6291737556458,12.352930512564505,11.309334307184033,71120845
2,0.1,10,500,100,1,0.0,0.0006490468978881836,191.80316948890686,7.010178377837434,10.4472973840612,5608550
4,0.01,12,100,100,20,0.25,0.0010545730590820312,1810.2394819259644,16.48210520676205,14.298253429531057,26651593
4,0.01,8,250,20,1,0.0,0.0007187366485595703,190.09582018852234,12.16950492426808,13.692120458795987,17771441
6,0.1,6,500,300,1,0.25,0.0008593320846557618,349.0678241252899,0.04059663073791862,15.840436158713702,52844429
4,0.01,12,1000,20,40,0.25,0.0011644363403320312,2737.2901933193207,17.318891060518425,14.700614184484534,26933894
2,0.01,6,500,100,40,0.25,0.00041854381561279297,1274.3062267303467,24.496769256565692,21.1609536389819,3366284
6,0.25,12,500,20,1,0.0,0.0016152143478393554,270.32550382614136,0.002648668122315187,18.49663155058767,103002485
6,0.01,12,100,100,40,0.0,0.0014694452285766602,5110.109658718109,9.66983507480811,9.744815137935015,106636243
6,0.01,12,1000,100,40,0.0,0.001671171188354492,7047.605606555939,9.059100729701735,9.334766846317482,107351815
2,0.25,14,100,100,1,0.25,0.0007616519927978515,199.2956690788269,3.9094811440457335,10.99375154006233,7751904
6,0.01,6,500,20,1,0.0,0.000835585594177246,210.38445854187012,7.822960732784432,13.553636277413597,53182480
2,0.25,6,500,100,20,0.0,0.0004210710525512695,687.7297685146332,9.684726688137994,9.232142050806186,3365854
6,0.1,12,1000,300,40,0.25,0.0017339229583740235,12538.72348856926,4.36155344797633,7.502408084020831,107295183
6,0.1,6,100,100,40,0.1,0.0007730484008789063,2620.0055747032166,7.7147183972338045,9.027688418048808,53292753
4,0.25,6,250,20,20,0.1,0.0005702972412109375,673.1259212493896,8.482176617372854,8.903694936557992,13335874
6,0.25,12,750,100,20,0.25,0.0016188383102416991,3355.196350812912,1.7100812683602662,8.732681640128975,107059739
4,0.1,10,100,100,1,0.25,0.0008649349212646485,225.63872170448303,1.9551744682904206,12.678758454019787,22161065
4,0.01,14,100,100,1,0.0,0.0011702537536621093,253.77152347564697,8.331994183525056,11.63864921800999,31056364
2,0.1,12,100,20,1,0.25,0.0006647586822509765,176.99888443946838,7.755250209458578,10.92478521191063,6647234
4,0.1,6,250,20,40,0.0,0.000565481185913086,1231.0732200145721,9.276744116024066,9.05852807676106,13337998
6,0.1,8,750,20,1,0.0,0.0011052131652832032,232.09291911125183,0.029826171262000017,15.49039020908592,70946346
2,0.01,8,1000,100,20,0.1,0.0005834579467773437,968.0537822246552,16.92808579068956,15.085523478260704,4549137
2,0.25,14,1000,300,1,0.25,0.0009148836135864258,279.39436078071594,3.040365146250452,10.715452940814286,7954862
4,0.1,10,250,300,1,0.25,0.0008917093276977539,315.5632953643799,1.5262508545822784,12.313761044505663,22176371
2,0.1,10,100,300,20,0.25,0.0005780696868896484,1602.9472980499268,14.905446160137863,12.329072391481077,5540523
4,0.01,6,250,300,1,0.1,0.0005634784698486328,251.21810150146484,11.620547255079762,13.344301694682486,13327156
6,0.1,8,750,300,20,0.25,0.0011613130569458007,4294.6579530239105,5.27148100505615,7.873333507726894,71426393
2,0.1,12,100,300,40,0.25,0.0006731033325195312,3899.9001359939575,14.328638116903113,12.038305288507638,6648639
4,0.1,8,100,100,20,0.0,0.0007051467895507812,1304.0394251346588,8.167977767439512,8.934938707890542,17766006
2,0.1,8,1000,300,1,0.1,0.0006124258041381836,226.3557357788086,7.313276116842234,10.563722966002926,4547755
4,0.1,12,100,20,1,0.1,0.00102081298828125,208.33119463920593,1.9211394434552087,12.487172177848555,26604624
4,0.1,10,500,100,20,0.25,0.0009583473205566406,1916.310188293457,9.451983266683893,9.35269391312444,22337594
4,0.1,12,1000,20,1,0.1,0.0011412143707275391,215.35863280296326,1.7089040512390885,12.011558883479914,26888104
2,0.01,14,750,300,1,0.1,0.0008925437927246094,271.6951467990875,13.461062473128715,13.509324437286905,7908779
2,0.01,12,1000,100,40,0.1,0.0008089303970336914,2655.6721539497375,15.544217047844011,13.77956106084722,6823691
2,0.01,14,100,20,40,0.25,0.0007726192474365234,1569.0466213226318,21.367382602034862,18.35464611532548,7756549
2,0.01,14,1000,300,1,0.0,0.0009377002716064453,278.7962622642517,13.457924658712967,13.436263870655837,7960092
6,0.1,12,250,20,40,0.0,0.0015595674514770508,3156.79265832901,3.6669037057452623,7.5545918120285105,106615694
6,0.25,8,250,20,40,0.0,0.0010304450988769531,2138.0708677768707,3.674952515835802,7.981482184871152,71054981
2,0.01,14,1000,100,1,0.25,0.0009321451187133789,216.45310378074646,13.996718898311107,13.842397794214193,7960034
4,0.1,14,100,100,40,0.25,0.001174783706665039,4122.247063159943,9.804121434295677,9.468401861359235,31093115
