tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
4,0.2,18,1000,300,40,0.25,0.0017084360122680664,13287.532273292542,5.739365283518135,7.712554565815788,40398758
4,0.2,16,1000,300,40,0.25,0.001665949821472168,13565.828422546387,6.271991125039475,7.7676853034858295,35910435
6,0.3,18,1000,300,40,0.25,0.002522182464599609,19191.421122074127,1.2043032807308431,7.81146997526033,160938475
6,0.3,14,1000,300,40,0.25,0.001924443244934082,14259.834786891937,1.6372400692840556,8.08636039141741,125194764
6,0.4,16,1000,300,40,0.1,0.0021918535232543944,16574.413917064667,1.110908684544163,7.592211788927583,142996344
8,0.3,18,1000,300,40,0.25,0.003014278411865234,24775.762296915054,0.11786656763424667,12.089883152437482,631082850
4,0.4,14,1000,300,40,0.25,0.0013409852981567383,9698.649166822433,5.5153855293408185,8.108904773096446,31421653
4,0.4,14,1000,300,40,0.1,0.00135495662689209,9665.921732187271,3.7486416552753274,7.405871238656985,31420101
8,0.2,16,1000,300,40,0.25,0.002770400047302246,21694.074665546417,0.35169558539632545,9.763578199198372,566362029
4,0.4,18,1000,300,40,0.25,0.0016894817352294921,12407.01825928688,4.151159882343638,7.693125976073291,40398924
6,0.4,16,1000,300,40,0.25,0.0021868467330932615,16199.484580039978,1.2445436100410272,9.211507063185072,143025760
4,0.4,18,1000,300,40,0.1,0.0016888618469238282,12387.565289974213,2.960515698248037,7.286853154780479,40397202
8,0.4,12,1000,300,40,0.25,0.0021230697631835936,16260.51721072197,0.24542295755067722,16.330640146498666,423622411
6,0.2,12,1000,300,40,0.25,0.001630091667175293,12260.756588697433,2.433475064687587,7.428009755586454,107291598
6,0.3,14,1000,300,40,0.1,0.0019029617309570313,14189.842958927155,1.433387940629908,7.39440039713231,125183067
4,0.3,18,1000,300,40,0.25,0.0016987323760986328,12422.987690448761,4.736605265351082,7.8391140716630625,40399794
4,0.2,12,1000,300,40,0.1,0.001163315773010254,8330.437346458435,5.284435557321928,7.291696259642971,26931471
8,0.3,14,1000,300,40,0.1,0.0024332523345947264,18942.101996421814,0.23589996350257303,9.045563369245928,494293955
8,0.3,16,1000,300,40,0.25,0.002722430229187012,21507.18111872673,0.17786867918171229,11.72369542455552,563580544
8,0.3,18,1000,300,40,0.1,0.0031191110610961914,23996.16245484352,0.10530371061955691,9.31267719118747,629854314
4,0.3,16,1000,300,40,0.1,0.0015228271484375,11067.470371484756,3.60642945141702,7.156369333371765,35909338
8,0.2,14,1000,300,40,0.1,0.00242917537689209,19104.415734291077,0.41493829917374436,8.233075865760117,496003368
8,0.4,14,1000,300,40,0.1,0.0023401498794555662,18783.17589712143,0.12481547745865984,10.498143043151005,490386185
6,0.3,18,1000,300,40,0.1,0.002408909797668457,18112.129977941513,1.0897758512757223,7.326224009608945,160914277
8,0.4,16,1000,300,40,0.25,0.0027193546295166014,21350.253844976425,0.08443890395507433,16.376563210136624,558058953
6,0.4,14,1000,300,40,0.1,0.0019226789474487305,14180.44675540924,1.2964297598527696,7.657749539817863,125146170
8,0.4,14,1000,300,40,0.25,0.0024559736251831056,18853.14084291458,0.14321123933241253,17.57800776572664,491423708
6,0.4,18,1000,300,40,0.1,0.002383589744567871,18125.459954738617,0.9614749578563826,7.765859849968818,160839844
4,0.4,12,1000,300,40,0.1,0.0011803150177001954,8298.469682216644,4.287949921527939,7.313650254949379,26931690
6,0.2,18,1000,300,40,0.25,0.0023878812789916992,18234.77996635437,1.4720161966239809,7.780854655841371,160904247
4,0.2,12,1000,300,40,0.25,0.001166534423828125,8321.318732261658,7.476084996088758,8.202512835365635,26932800
4,0.3,16,1000,300,40,0.25,0.001527714729309082,11041.261803865433,5.326815792741945,7.825325840848377,35911394
4,0.4,16,1000,300,40,0.1,0.0016306638717651367,12590.14387845993,3.3003162713184504,7.21633023090872,35908437
4,0.2,14,1000,300,40,0.1,0.0013961076736450195,13137.50255393982,4.676415951344227,7.112118082378655,31420030
6,0.4,18,1000,300,40,0.25,0.0028905153274536135,25341.54868531227,1.0606771254312517,8.818475195178012,160874661
8,0.2,14,1000,300,40,0.25,0.0025543212890625,25205.97819018364,0.4593975267773248,9.302336680377216,496545849
8,0.2,16,1000,300,40,0.1,0.0027652978897094727,25654.420731306076,0.3225741521845058,8.158302703898105,565580857
8,0.4,18,1000,300,40,0.1,0.003141331672668457,26525.96569085121,0.03936808034714682,11.05122604582154,622447788
8,0.2,12,1000,300,40,0.1,0.00210263729095459,18037.2078397274,0.5465970747478909,8.23139610092621,425874108
4,0.3,12,1000,300,40,0.1,0.001168203353881836,8129.027903079987,4.609082041502602,7.229955617645782,26932417
4,0.4,16,1000,300,40,0.25,0.0015218734741210937,10809.339017391205,4.744585891851135,8.007313062785585,35910111
